,mkisofs,1,mkisofs,^([0-9][0-9]*(\.[0-9]+)+),a,cdrtools,cdrecord,\1,,,,,,,
,mkisofs,1,mkisofs,^([0-9][0-9]*(\.[0-9]+)+),a,cdrtools,cdrtools,\1,,,,,,,
,mkhybrid,1,mkhybrid,^([0-9][0-9]*(\.[0-9]+)+),a,cdrtools,cdrecord,\1,,,,,,,
,mkhybrid,1,mkhybrid,^([0-9][0-9]*(\.[0-9]+)+),a,cdrtools,cdrtools,\1,,,,,,,
,gpg-connect-agent,1,gpg-connect-agent,^([0-9][0-9]*(\.[0-9]+)+),a,gnupg,gnupg,\1,,,,,,,
,symcryptrun,1,symcryptrun,^([0-9][0-9]*(\.[0-9]+)+),a,gnupg,gnupg,\1,,,,,,,
,pdfinfo,1,pdfinfo,^([0-9][0-9]*(\.[0-9]+)+),a,poppler,poppler,\1,,,,,,,
,pdfimages,1,pdfimages,^([0-9][0-9]*(\.[0-9]+)+),a,poppler,poppler,\1,,,,,,,
,pdffonts,1,pdffonts,^([0-9][0-9]*(\.[0-9]+)+),a,poppler,poppler,\1,,,,,,,
,libpoppler,1,libpoppler.*.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,poppler,poppler,\1,,,,,,,
,libsqlite3,1,libsqlite3.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,sqlite,sqlite,\1,,,,,,,
,libperl.so,1,libperl.so.*,/usr/lib/perl5/([0-9][0-9]*(\.[0-9]+)+)/,a,perl,perl,\1,,,,,,,
,libperl.so,1,libperl.so.*,/usr/lib64/perl5/([0-9][0-9]*(\.[0-9]+)+)/,a,perl,perl,\1,,,,,,,
,libpython,1,libpython.*.so.*,^([0-9][0-9]*\.[0-9]+\.[0-9]+),a,python,python,\1,,,,,,,
,libapr-,1,libapr-..so.*,^([0-9][0-9]*(\.[0-9]+)+),a,apache,apr,\1,,,,,,,
,libaprutil-,1,libaprutil-..so.*,^([0-9][0-9]*(\.[0-9]+)+),a,apache,apr-util,\1,,,,,,,
,libsasl2.so,1,libsasl2.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,carnegie_mellon_university,cyrus-sasl,\1,,,,,,,
,libexpat.so,1,libexpat.so.*,expat_([0-9][0-9]*(\.[0-9]+)+),a,james_clark,expat,\1,,,,,,,
,glib-gettextize,1,glib-gettextize,version=([0-9][0-9]*(\.[0-9]+)+),a,gnome,glib,\1,,,,,,,
,gmime-uu,1,gmime-uu.*,^([0-9][0-9]*(\.[0-9]+)+),a,gnome,gmime,\1,,,,,,,
,gmime-config,1,gmime-config,echo ([0-9][0-9]*(\.[0-9]+)+),a,gnome,gmime,\1,,,,,,,
,libcdio-paranoia,1,libcdio-paranoia,libcdio ([0-9][0-9]*(\.[0-9]+)+) ,a,gnu,libcdio,\1,,,,,,,
,mmc-tool,1,mmc-tool,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,libcdio,\1,,,,,,,
,iso-read,1,iso-read,^([0-9][0-9]*(\.[0-9]+)+) x86_64-pc-linux-gnu,a,gnu,libcdio,\1,,,,,,,
,cd-info,1,cd-info,^([0-9][0-9]*(\.[0-9]+)+) x86_64-pc-linux-gnu,a,gnu,libcdio,\1,,,,,,,
,iso-info,1,iso-info,^([0-9][0-9]*(\.[0-9]+)+) x86_64-pc-linux-gnu,a,gnu,libcdio,\1,,,,,,,
,cd-read,1,cd-read,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,libcdio,\1,,,,,,,
,cd-drive,1,cd-drive,^([0-9][0-9]*(\.[0-9]+)+) x86_64-pc-linux-gnu,a,gnu,libcdio,\1,,,,,,,
,libcdio.so,1,libcdio.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,libcdio,\1,,,,,,,
,libssl.so,1,libssl.so.*,OpenSSL ([0-9][0-9]*(\.[0-9]+)+[a-z]) [0-9]*,a,openssl,openssl,\1,,,,,,,
,libcrypto.so,1,libcrypto.so.*,OpenSSL ([0-9][0-9]*(\.[0-9]+)+[a-z]) [0-9]*,a,openssl,openssl,\1,,,,,,,
,unzz,1,unzz.*,version zziplib ([0-9][0-9]*(\.[0-9]+)+),a,zziplib,zziplib,\1,,,,,,,
,zz,1,zz.*,version zziplib ([0-9][0-9]*(\.[0-9]+)+),a,zziplib,zziplib,\1,,,,,,,
,strace,1,strace,^([0-9][0-9]*(\.[0-9]+)+),a,paul_kranenburg,strace,\1,,,,,,,
,git,1,git$,^([0-9][0-9]*(\.[0-9]+)+),a,git,git,\1,,,,,,,
,svn,1,svn,^([0-9][0-9]*(\.[0-9]+)+),a,subversion,subversion,\1,,,,,,,
,libsvn,1,libsvn.*.so.*,SVN/([0-9][0-9]*(\.[0-9]+)+) \(r,a,subversion,subversion,\1,,,,,,,
,libkde,1,libkde.*.so.*,\(KDE ([0-9][0-9]*(\.[0-9]+)+)\),a,kde,kdelibs,\1,,,,,,,
,mutt,1,mutt,^([0-9][0-9]*(\.[0-9]+)+),a,mutt,mutt,\1,,,,,,,
,exiv2,1,exiv2,exiv2 ([0-9][0-9]*(\.[0-9]+)+),a,andreas_huggel,exiv2,\1,,,,,,,
,exiv2,1,exiv2,exiv2 ([0-9][0-9]*(\.[0-9]+)+),a,exiv2,exiv2,\1,,,,,,,
,libasound.so,1,libasound.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,alsa,alsa-lib,\1,,,,,,,
,libFLAC.so,1,libFLAC.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,flac,libflac,\1,,,,,,,
,libgst,1,libgst.*.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,gstreamer,gst-plugins-base,\1,,,,,,,
,libpng,1,libpng.*-config,version=.([0-9][0-9]*(\.[0-9]+)+).,a,greg_roelofs,libpng,\1,,,,,,,
,libpng,1,libpng.*-config,version=.([0-9][0-9]*(\.[0-9]+)+).,a,libpng,libpng,\1,,,,,,,
,libpng,1,libpng.*.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,greg_roelofs,libpng,\1,,,,,,,
,libpng,1,libpng.*.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,libpng,libpng,\1,,,,,,,
,libsndfile.so,1,libsndfile.so.*,libsndfile-([0-9][0-9]*(\.[0-9]+)+),a,gentoo,libsndfile,\1,,,,,,,
,libsndfile.so,1,libsndfile.so.*,libsndfile-([0-9][0-9]*(\.[0-9]+)+),a,mega-nerd,libsndfile,\1,,,,,,,
,zip,1,zip.*,^([0-9][0-9]*(\.[0-9]+)+),a,info-zip,zip,\1,,,,,,,
,rvi,1,rvi.*,Gentoo-([0-9][0-9]*(\.[0-9]+)+),a,vim,vim,\1,,,,,,,
,vim,1,vim.*,Gentoo-([0-9][0-9]*(\.[0-9]+)+),a,vim,vim,\1,,,,,,,
,dbus-binding-tool,1,dbus-binding-tool,^([0-9][0-9]*(\.[0-9]+)+),a,freedesktop,dbus-glib,\1,,,,,,,
,gmime-config,1,gmime-config,echo ([0-9][0-9]*(\.[0-9]+)+),a,gnome,gmime,\1,,,,,,,
,xml2-config,1,xml2-config,echo ([0-9][0-9]*(\.[0-9]+)+),a,xmlsoft,libxml2,\1,,,,,,,
,xslt-config,1,xslt-config,echo ([0-9][0-9]*(\.[0-9]+)+),a,xmlsoft,libxslt,\1,,,,,,,
,libxslt.so.1.1.26,1,libxslt.so.1.1.26,LIBXML2_([0-9][0-9]*(\.[0-9]+)+),a,xmlsoft,libxslt,\1,,,,,,,
,unzip-mem,1,unzip-mem,../../bins/unzip-mem.c version zziplib ([0-9][0-9]*(\.[0-9]+)+),a,zziplib,zziplib,\1,,,,,,,
,libMagickCore.so,1,libMagickCore.so.*,file:///usr/share/doc/imagemagick-([0-9][0-9]*(\.[0-9]+)+)/index.html,a,imagemagick,imagemagick,\1,,,,,,,
,libMagickCore.so,1,libMagickCore.so.*,file:///usr/share/doc/imagemagick-([0-9][0-9]*(\.[0-9]+)+)/index.html,a,imagemagick,libmagick_library,\1,,,,,,,
,libvorbis.so,1,libvorbis.so.*,Xiph.Org libVorbis ([0-9][0-9]*(\.[0-9]+)+),a,xiph,libvorbis,\1,,,,,,,
,libvorbis.so,1,libvorbis.so.*,Xiph.Org libVorbis ([0-9][0-9]*(\.[0-9]+)+),a,xiph.org,libvorbis,\1,,,,,,,
,libvorbis.so,1,libvorbis.so.*,Xiph.Org libVorbis ([0-9][0-9]*(\.[0-9]+)+),a,libvorbis,libvorbis,\1,,,,,,,
,swrast_dri.so,1,swrast_dri.so,%u.%u Mesa ([0-9][0-9]*(\.[0-9]+)+),a,brian_paul,mesa,\1,,,,,,,
,libt1.so.5.1.2,1,libt1.so.5.1.2,([0-9][0-9]*(\.[0-9]+)+),a,t1lib,t1lib,\1,,,,,,,
,xine-list,1,xine-list-.*,^([0-9][0-9]*(\.[0-9]+)+),a,xine,xine-lib,\1,,,,,,,
,xineplug_inp_,1,xineplug_inp_.*.so,^([0-9][0-9]*(\.[0-9]+)+),a,xine,xine-lib,\1,,,,,,,
,libxine.so,1,libxine.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,xine,xine-lib,\1,,,,,,,
,libxvidcore.so,1,libxvidcore.so.*,@xvid-([0-9][0-9]*(\.[0-9]+)+),a,xvid,xvid,\1,,,,,,,
,vobStreamer,1,vobStreamer,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,testOnDemandRTSPServer,1,testOnDemandRTSPServer,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,testMPEG1or2Splitter,1,testMPEG1or2Splitter,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,testMPEG4VideoToDarwin,1,testMPEG4VideoToDarwin,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,MPEG2TransportStreamIndexer,1,MPEG2TransportStreamIndexer,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,testMPEG4VideoStreamer,1,testMPEG4VideoStreamer,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,testMPEG2TransportStreamTrickPlay,1,testMPEG2TransportStreamTrickPlay,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,testMPEG1or2AudioVideoToDarwin,1,testMPEG1or2AudioVideoToDarwin,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,testMPEG1or2ProgramToTransportStream,1,testMPEG1or2ProgramToTransportStream,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,testWAVAudioStreamer,1,testWAVAudioStreamer,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,openRTSP,1,openRTSP,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,playSIP,1,playSIP,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,testAMRAudioStreamer,1,testAMRAudioStreamer,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,libliveMedia.so,1,libliveMedia.so.*,^([0-9][0-9]*(\.[0-9]+)+),a,live555,media_server,\1,,,,,,,
,iptables-,1,iptables-.*,^([0-9][0-9]*(\.[0-9]+)+),a,netfilter_core_team,iptables,\1,,,,,,,
,libirc_proxy.so,1,libirc_proxy.so,^([0-9][0-9]*(\.[0-9]+)+),a,irssi,irssi,\1,,,,,,,
,dhcpcd,1,dhcpcd,dhcpcd ([0-9][0-9]*(\.[0-9]+)+) starting,a,phystech,dhcpcd,\1,,,,,,,
,vncviewer,1,vncviewer,TightVNC Viewer version ([0-9][0-9]*(\.[0-9]+)+),a,tightvnc,tightvnc,\1,,,,,,,
,Xvnc,1,Xvnc,TightVNC-([0-9][0-9]*(\.[0-9]+)+),a,tightvnc,tightvnc,\1,,,,,,,
,wget,1,wget,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,wget,\1,,,,,,,
,wget,1,wget,^([0-9][0-9]*(\.[0-9]+)+),a,wget,wget,\1,,,,,,,
,pan,1,pan,pan ([0-9][0-9]*(\.[0-9]+)+),a,pan,pan,\1,,,,,,,
,cupsd,1,cupsd,# Subscription configuration file for CUPS v([0-9][0-9]*(\.[0-9]+)+),a,cups,cups,\1,,,,,,,
,printers.cgi,1,printers.cgi,CUPS v([0-9][0-9]*(\.[0-9]+)+),a,cups,cups,\1,,,,,,,
,jobs.cgi,1,jobs.cgi,CUPS v([0-9][0-9]*(\.[0-9]+)+),a,cups,cups,\1,,,,,,,
,classes.cgi,1,classes.cgi,CUPS v([0-9][0-9]*(\.[0-9]+)+),a,cups,cups,\1,,,,,,,
,help.cgi,1,help.cgi,CUPS v([0-9][0-9]*(\.[0-9]+)+),a,cups,cups,\1,,,,,,,
,admin.cgi,1,admin.cgi,CUPS v([0-9][0-9]*(\.[0-9]+)+),a,cups,cups,\1,,,,,,,
,libcups.so,1,libcups.so.*,CUPS/([0-9][0-9]*(\.[0-9]+)+),a,cups,cups,\1,,,,,,,
,libcups.so,1,libcups.so,CUPS/([0-9][0-9]*(\.[0-9]+)+),a,cups,cups,\1,,,,,,,
,wpa_,1,wpa_.*,wpa_.* v([0-9][0-9]*(\.[0-9]+)+),a,wpa_supplicant,wpa_supplicant,\1,,,,,,,
,setfacl,1,setfacl,%s ([0-9][0-9]*(\.[0-9]+)+),a,xfs,acl,\1,,,,,,,
,getfacl,1,getfacl,%s ([0-9][0-9]*(\.[0-9]+)+),a,xfs,acl,\1,,,,,,,
,busybox,1,busybox.*,([0-9][0-9]*(\.[0-9]+)+) 20[0-9]+-[0-9]+-[0-9]+,a,busybox,busybox,\1,,,,,,,
,busybox,1,busybox.*,([0-9][0-9]*(\.[0-9]+)+) 20[0-9]+-[0-9]+-[0-9]+,a,rob_landley,busybox,\1,,,,,,,
,bb,1,bb,([0-9][0-9]*(\.[0-9]+)+) 20[0-9]+-[0-9]+-[0-9]+,a,busybox,busybox,\1,,,,,,,
,bb,1,bb,([0-9][0-9]*(\.[0-9]+)+) 20[0-9]+-[0-9]+-[0-9]+,a,rob_landley,busybox,\1,,,,,,,
,mdev,1,mdev,([0-9][0-9]*(\.[0-9]+)+) 20[0-9]+-[0-9]+-[0-9]+,a,busybox,busybox,\1,,,,,,,
,mdev,1,mdev,([0-9][0-9]*(\.[0-9]+)+) 20[0-9]+-[0-9]+-[0-9]+,a,rob_landley,busybox,\1,,,,,,,
,dbus-,1,dbus-[^b].*$,^([0-9][0-9]*(\.[0-9]+)+),a,freedesktop,dbus,\1,,,,,,,
,dbus-,1,dbus-.*,D-Bus ([0-9][0-9]*(\.[0-9]+)+),a,freedesktop,dbus,\1,,,,,,,
,libdbus-,1,libdbus-..so.*,D-Bus ([0-9][0-9]*(\.[0-9]+)+),a,freedesktop,dbus,\1,,,,,,,
,ed,1,ed,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,ed,\1,,,,,,,
,red,1,red,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,ed,\1,,,,,,,
,eject,1,eject,^([0-9][0-9]*(\.[0-9]+)+),a,eject,eject,\1,,,,,,,
,find,1,find$,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,findutils,\1,,,,,,,
,oldfind,1,oldfind$,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,findutils,\1,,,,,,,
,xargs,1,xargs,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,findutils,\1,,,,,,,
,grodvi,1,grodvi,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,groff,\1,,,,,,,
,grolj4,1,grolj4,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,groff,\1,,,,,,,
,grotty,1,grotty,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,groff,\1,,,,,,,
,grolbp,1,grolbp,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,groff,\1,,,,,,,
,groff,1,groff,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,groff,\1,,,,,,,
,sandbox,1,sandbox,../../sandbox-([0-9][0-9]*(\.[0-9]+)+)/libsbutil/src/string.c,a,sandbox,sandbox,\1,,,,,,,
,libsandbox.so,1,libsandbox.so,../../sandbox-([0-9][0-9]*(\.[0-9]+)+)/libsbutil/src/debug.c,a,sandbox,sandbox,\1,,,,,,,
,texindex,1,texindex,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,texinfo,\1,,,,,,,
,install-info,1,install-info,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,texinfo,\1,,,,,,,
,infokey,1,infokey,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,texinfo,\1,,,,,,,
,info,1,info,^([0-9][0-9]*(\.[0-9]+)+),a,gnu,texinfo,\1,,,,,,,
